UniqueId,SocialMedia,SocialMediaTime,News,NewsTime,Blogs,BlogsTime,BounceRate,ExitRate,PageValue,TrafficKind,OS,Browser,Month,Region,VisitorKind,DayImportance,IsWeekend,IsSale
00x281,17.0,754.11,2.0,77.0,31.0,1021.619,0.005,0.026,2.081,direct,android,Safari,Mar,East North Central,Returning,0.0,0.0,True
00x287,0.0,0.0,0.0,0.0,45.0,1594.283,0.0,0.015,45.432,direct,windows,Google-Chrome,Mar,New England,Returning,0.0,1.0,True
00x28c,2.0,47.0,0.0,0.0,21.0,825.083,0.0,0.009,10.793,direct,windows,Google-Chrome,Mar,Mid-Atlantic,New,0.0,0.0,True
00x2aa,2.0,45.444,1.0,40.667,57.0,851.643,0.0,0.008,3.078,search,windows,Firefox,Mar,East North Central,Returning,0.0,1.0,True
00x2b6,1.0,72.667,4.0,345.0,24.0,879.909,0.0,0.036,6.483,search,windows,Firefox,Mar,West North Central,Returning,0.0,0.0,True
00x2b9,3.0,49.5,1.0,29.5,45.0,1545.5,0.0,0.004,20.971,referral,windows,Firefox,Mar,East North Central,Returning,0.0,1.0,True
00x2d2,4.0,359.3,4.0,407.0,69.0,5485.106,0.011,0.017,4.495,search,android,Safari,Mar,Mid-Atlantic,Returning,0.0,1.0,True
00x2df,0.0,0.0,1.0,81.0,82.0,3214.021,0.0,0.008,4.667,referral,mac-ios,Other,Mar,Mid-Atlantic,Returning,0.0,0.0,True
00x2f0,6.0,171.083,0.0,0.0,28.0,952.286,0.0,0.013,52.108,direct,windows,Google-Chrome,Mar,New England,Returning,0.0,0.0,True
00x2f6,0.0,0.0,0.0,0.0,14.0,510.5,0.0,0.015,31.309,direct,windows,Google-Chrome,Mar,New England,New,0.0,0.0,True
00x2f8,6.0,262.25,3.0,298.0,49.0,2302.021,0.0,0.027,43.362,direct,android,Safari,Mar,New England,Returning,0.0,0.0,True
00x304,6.0,437.391,2.0,235.55,83.0,2503.882,0.002,0.005,2.086,direct,windows,Google-Chrome,Mar,East North Central,Returning,0.0,0.0,True
00x30f,4.0,15.0,1.0,17.0,17.0,490.0,0.0,0.027,15.664,referral,windows,Google-Chrome,Mar,West North Central,Returning,0.0,0.0,True
00x322,3.0,74.0,2.0,26.0,53.0,893.511,0.004,0.005,44.612,referral,android,Safari,Mar,West North Central,Returning,0.0,1.0,True
00x32a,7.0,301.7,6.0,336.5,42.0,1981.017,0.006,0.021,13.002,direct,android,Safari,Mar,Mid-Atlantic,Returning,0.0,1.0,True
00x32d,0.0,0.0,0.0,0.0,22.0,1310.5,0.01,0.029,23.864,search,windows,Google-Chrome,Mar,New England,Returning,0.0,0.0,True
00x34d,4.0,64.333,1.0,13.0,27.0,1433.917,0.0,0.018,3.691,referral,android,Firefox,Mar,New England,New,0.0,0.0,True
00x355,8.0,492.417,4.0,384.0,52.0,4699.278,0.007,0.018,11.108,direct,windows,Google-Chrome,Mar,New England,Returning,0.0,0.0,True
00x35a,0.0,0.0,0.0,0.0,8.0,349.5,0.0,0.029,25.188,referral,android,Google-Chrome,Mar,New England,New,0.0,0.0,True
00x36e,0.0,0.0,0.0,0.0,10.0,316.5,0.0,0.025,17.538,referral,windows,Firefox,Mar,New England,New,0.0,1.0,True
00x380,1.0,47.0,0.0,0.0,5.0,388.0,0.0,0.04,31.188,search,android,Safari,Mar,West South Central,Returning,0.0,1.0,True
00x387,0.0,0.0,0.0,0.0,10.0,253.5,0.0,0.022,63.588,direct,android,Safari,Mar,New England,New,0.0,1.0,True
00x389,3.0,152.5,5.0,243.5,43.0,3065.945,0.0,0.012,3.311,search,android,Google-Chrome,Mar,New England,Returning,0.0,1.0,True
00x3ab,4.0,167.5,0.0,0.0,22.0,869.9,0.0,0.026,33.533,referral,windows,Other,Mar,West North Central,Returning,0.0,0.0,True
00x3d3,11.0,247.333,2.0,369.0,90.0,7221.0,0.001,0.004,13.464,referral,windows,Google-Chrome,Mar,East North Central,Returning,0.0,0.0,True
00x408,3.0,26.0,0.0,0.0,19.0,576.083,0.009,0.018,30.65,search,windows,Google-Chrome,Mar,Mid-Atlantic,Returning,0.0,1.0,True
00x412,1.0,123.0,0.0,0.0,7.0,181.5,0.0,0.025,64.732,direct,windows,Google-Chrome,Mar,New England,New,0.0,1.0,True
00x419,5.0,72.5,0.0,0.0,31.0,649.307,0.0,0.001,35.104,direct,windows,Other,Mar,Mid-Atlantic,Returning,0.0,1.0,True
00x41a,1.0,21.0,1.0,61.0,49.0,1647.152,0.0,0.001,144.393,direct,windows,Google-Chrome,Mar,West South Central,Returning,0.0,1.0,True
00x42b,2.0,35.0,0.0,0.0,20.0,979.083,0.0,0.01,60.045,direct,windows,Google-Chrome,Mar,East North Central,Returning,0.0,0.0,True
00x42d,6.0,160.095,3.0,94.5,47.0,1682.87,0.001,0.008,5.699,referral,mac-ios,Google-Chrome,Mar,East South Central,Returning,0.0,0.0,True
00x452,6.0,60.0,2.0,61.0,23.0,1031.705,0.0,0.007,33.148,referral,linux,Google-Chrome,Mar,Pacific,Returning,0.0,1.0,True
00x45b,0.0,0.0,3.0,300.0,13.0,509.121,0.007,0.002,40.793,direct,mac-ios,Google-Chrome,Mar,West South Central,Returning,0.0,1.0,True
00x485,10.0,117.333,0.0,0.0,28.0,631.99,0.018,0.023,10.165,direct,mac-ios,Other,Mar,New England,Returning,0.0,0.0,True
00x489,1.0,0.0,0.0,0.0,16.0,1296.6,0.022,0.033,13.284,direct,mac-ios,Google-Chrome,Mar,West North Central,Returning,0.0,0.0,True
00x493,0.0,0.0,1.0,42.0,20.0,408.333,0.0,0.003,33.478,direct,windows,Firefox,Mar,West South Central,Returning,0.0,0.0,True
00x49e,9.0,204.083,0.0,0.0,63.0,3552.702,0.0,0.007,19.956,referral,android,Google-Chrome,Mar,Mountain,New,0.0,0.0,True
00x49f,2.0,151.0,0.0,0.0,19.0,716.357,0.005,0.016,10.869,search,android,Safari,Mar,West South Central,Returning,0.0,1.0,True
00x4a1,6.0,52.0,1.0,24.0,56.0,3763.167,0.003,0.015,10.37,search,windows,Google-Chrome,Mar,New England,Returning,0.0,0.0,True
00x4a4,4.0,600.423,0.0,0.0,17.0,1883.827,0.001,0.013,0.121,referral,windows,Google-Chrome,Mar,New England,Returning,0.0,0.0,True
00x4ab,2.0,152.833,0.0,0.0,20.0,791.667,0.011,0.017,41.35,direct,android,Safari,Mar,New England,New,0.0,0.0,True
00x4c3,0.0,0.0,0.0,0.0,6.0,495.0,0.0,0.02,77.96,direct,android,Google-Chrome,Mar,Pacific,Returning,0.0,1.0,True
00x503,6.0,136.556,0.0,0.0,59.0,3224.819,0.003,0.012,8.567,direct,windows,Firefox,Mar,Mid-Atlantic,Returning,0.0,1.0,True
00x512,0.0,0.0,1.0,55.0,9.0,936.833,0.0,0.022,53.255,direct,android,Safari,Mar,New England,Returning,0.0,1.0,True
00x523,0.0,0.0,1.0,28.0,13.0,474.667,0.0,0.014,33.41,referral,windows,Google-Chrome,Mar,New England,Returning,0.0,0.0,True
00x529,3.0,180.0,0.0,0.0,12.0,1436.5,0.0,0.013,27.759,direct,windows,Google-Chrome,Mar,Mid-Atlantic,Returning,0.0,1.0,True
00x52b,4.0,52.0,1.0,7.0,46.0,3087.0,0.004,0.021,16.946,referral,windows,Google-Chrome,Mar,East North Central,Returning,0.0,0.0,True
00x535,0.0,0.0,0.0,0.0,26.0,1377.77,0.0,0.008,92.482,direct,windows,Google-Chrome,Mar,West South Central,Returning,0.0,0.0,True
00x53b,2.0,11.923,2.0,139.0,80.0,4099.737,0.004,0.005,16.881,direct,mac-ios,Google-Chrome,Mar,New England,Returning,0.0,1.0,True
00x558,4.0,68.5,2.0,845.0,82.0,2448.784,0.0,0.009,6.507,direct,android,Safari,Mar,Mid-Atlantic,Returning,0.0,0.0,True
00x55c,2.0,,0.0,0.0,,952.435,0.0,0.012,2.18,referral,linux,Google-Chrome,,Mid-Atlantic,Returning,,1.0,True
00x585,2.0,33.0,0.0,0.0,25.0,1720.0,0.0,0.008,60.29,search,windows,Samsung,Mar,East North Central,Returning,0.0,0.0,True
00x58f,4.0,143.0,1.0,20.5,10.0,386.15,0.0,0.015,64.6,referral,android,Safari,Mar,West South Central,Returning,0.0,0.0,True
00x598,0.0,0.0,0.0,0.0,12.0,481.833,0.0,0.018,74.088,direct,android,Safari,Mar,New England,New,0.0,0.0,True
00x59b,2.0,75.0,0.0,0.0,14.0,851.0,0.0,0.014,22.889,direct,android,Safari,Mar,New England,New,0.0,1.0,True
00x5b7,10.0,1559.75,1.0,7.0,41.0,1663.762,0.004,0.016,13.635,direct,android,Safari,Mar,New England,Returning,0.0,0.0,True
00x5ba,1.0,0.0,1.0,60.5,46.0,1038.917,0.021,0.039,13.103,search,windows,Google-Chrome,Mar,East South Central,Returning,0.0,0.0,True
00x5be,6.0,143.167,0.0,0.0,50.0,925.948,0.0,0.01,13.605,direct,windows,Google-Chrome,Mar,New England,Returning,0.0,0.0,True
00x5d2,4.0,149.25,0.0,0.0,27.0,1212.81,0.0,0.021,14.892,direct,windows,Google-Chrome,Mar,West South Central,Returning,0.0,0.0,True
00x5e7,6.0,129.75,0.0,0.0,42.0,1173.07,0.0,0.005,18.953,referral,windows,Google-Chrome,Mar,East North Central,New,0.0,1.0,True
00x5ef,10.0,382.833,4.0,319.3,72.0,4163.798,0.0,0.011,12.092,direct,windows,Google-Chrome,Mar,East South Central,Returning,0.0,0.0,True
00x61e,0.0,0.0,0.0,0.0,7.0,451.0,0.0,0.033,49.823,search,windows,Google-Chrome,Mar,West North Central,New,0.0,0.0,True
00x623,2.0,60.0,0.0,0.0,20.0,717.617,0.0,0.005,60.195,direct,windows,Samsung,Mar,Pacific,Returning,0.0,0.0,True
00x62e,7.0,187.833,0.0,0.0,36.0,1775.517,0.0,0.009,4.746,referral,android,Safari,Mar,New England,Returning,0.0,0.0,True
00x632,2.0,66.0,1.0,0.0,10.0,302.0,0.043,0.06,19.535,direct,windows,Other,Mar,East North Central,Returning,0.0,0.0,True
00x637,2.0,69.0,2.0,92.0,37.0,796.957,0.0,0.024,3.978,direct,windows,Google-Chrome,Mar,West South Central,Returning,0.0,0.0,True
00x663,7.0,170.0,0.0,0.0,27.0,1342.667,0.003,0.023,29.356,search,windows,Google-Chrome,Mar,New England,Returning,0.0,0.0,True
00x665,0.0,0.0,0.0,0.0,9.0,639.0,0.0,0.025,81.248,referral,android,Safari,Mar,Mid-Atlantic,Returning,0.0,1.0,True
00x66b,5.0,217.667,0.0,0.0,18.0,494.667,0.0,0.02,33.145,direct,mac-ios,Google-Chrome,Mar,New England,Returning,0.0,0.0,True
00x66e,8.0,227.533,3.0,292.684,66.0,3025.522,0.016,0.026,7.372,referral,mac-ios,Google-Chrome,Mar,East North Central,Returning,0.0,0.0,True
00x680,6.0,190.286,6.0,609.0,47.0,2989.494,0.0,0.005,30.898,referral,windows,Google-Chrome,Mar,New England,New,0.0,1.0,True
00x682,8.0,183.0,4.0,571.5,14.0,333.6,0.0,0.01,15.433,direct,android,Safari,Mar,New England,Returning,0.0,1.0,True
00x684,0.0,0.0,0.0,0.0,9.0,355.167,0.0,0.004,18.025,direct,windows,Firefox,Mar,New England,Returning,0.0,0.0,True
00x688,2.0,21.0,0.0,0.0,65.0,2881.133,0.0,0.003,80.681,direct,windows,Google-Chrome,Mar,West North Central,New,0.0,0.0,True
00x6a0,1.0,24.0,0.0,0.0,17.0,498.333,0.0,0.021,76.787,referral,windows,Google-Chrome,Mar,East South Central,Returning,0.0,0.0,True
00x6b7,1.0,6.0,0.0,0.0,16.0,608.833,0.012,0.027,52.701,referral,mac-ios,Google-Chrome,Mar,New England,Returning,0.0,0.0,True
00x6be,4.0,136.0,0.0,0.0,31.0,1141.833,0.0,0.006,10.634,search,android,Safari,Mar,New England,Returning,0.0,0.0,True
00x6c3,3.0,,1.0,29.5,30.0,1107.048,,0.018,35.981,search,mac-ios,Google-Chrome,Mar,,Returning,0.0,1.0,True
00x6c4,7.0,161.0,3.0,775.5,19.0,4996.667,0.008,0.026,14.101,direct,windows,Firefox,Mar,Mountain,Returning,0.0,0.0,True
00x6ca,2.0,24.0,0.0,0.0,28.0,1206.615,0.0,0.023,5.418,direct,windows,Google-Chrome,Mar,New England,Returning,0.0,0.0,True
00x6e1,8.0,377.513,3.0,265.0,60.0,2062.891,0.014,0.027,1.705,direct,android,Safari,Mar,West North Central,Returning,0.0,0.0,True
00x6f1,4.0,55.75,0.0,0.0,19.0,685.95,0.0,0.018,7.141,direct,mac-ios,Google-Chrome,Mar,West South Central,Returning,0.0,1.0,True
00x6f4,3.0,79.0,0.0,0.0,36.0,2517.0,0.0,0.005,27.239,direct,windows,Other,Mar,Mid-Atlantic,Returning,0.0,1.0,True
00x6fa,1.0,40.0,5.0,279.5,62.0,1088.831,0.001,0.007,11.485,referral,mac-ios,Google-Chrome,Mar,New England,Returning,0.0,1.0,True
00x6fb,3.0,73.0,,-1001.0,9.0,,0.0,,10.913,search,windows,Samsung,Mar,New England,Returning,0.0,0.0,True
00x740,5.0,143.833,1.0,55.0,19.0,1762.5,0.0,0.013,31.546,direct,mac-ios,Google-Chrome,Mar,New England,Returning,0.0,0.0,True
00x744,5.0,141.0,0.0,0.0,33.0,1371.633,0.0,0.006,44.711,referral,windows,Firefox,Mar,East North Central,New,0.0,1.0,True
00x770,1.0,75.0,4.0,250.667,44.0,1679.833,0.0,0.001,45.829,direct,windows,Google-Chrome,Mar,New England,New,0.0,1.0,True
00x77e,1.0,44.0,0.0,0.0,25.0,773.467,0.0,0.029,10.357,direct,windows,Google-Chrome,Mar,New England,Returning,0.0,1.0,True
00x77f,5.0,825.0,0.0,0.0,33.0,808.167,0.0,0.005,20.86,referral,windows,Firefox,Mar,Pacific,New,0.0,0.0,True
00x789,0.0,0.0,0.0,0.0,10.0,254.0,0.02,0.04,14.029,direct,windows,Google-Chrome,Mar,Pacific,New,0.0,0.0,True
00x795,0.0,0.0,0.0,0.0,10.0,408.0,0.0,0.022,88.785,direct,windows,Google-Chrome,Mar,New England,Returning,0.0,0.0,True
00x7ab,7.0,75.05,0.0,0.0,31.0,489.145,0.011,0.022,27.382,direct,windows,Google-Chrome,Mar,South Atlantic,Returning,0.0,1.0,True
00x7c0,9.0,81.0,0.0,0.0,34.0,1219.114,0.007,0.023,9.517,search,mac-ios,Google-Chrome,Mar,East North Central,Returning,0.0,0.0,True
00x7c1,1.0,0.0,0.0,0.0,21.0,574.723,0.0,0.019,6.284,direct,windows,Google-Chrome,Mar,New England,Returning,0.0,0.0,True
00x7cd,4.0,22.5,0.0,0.0,15.0,289.85,0.0,0.022,57.964,search,windows,Google-Chrome,Mar,Mid-Atlantic,New,0.0,1.0,True
00x7d6,6.0,145.0,6.0,199.0,40.0,1834.167,0.0,0.007,49.47,direct,windows,Samsung,Mar,East North Central,Returning,0.0,0.0,True
00x7dc,9.0,183.5,2.0,29.667,52.0,2211.608,0.009,0.01,1.816,direct,linux,Google-Chrome,Mar,New England,Returning,0.0,0.0,True
00x7e8,0.0,0.0,0.0,0.0,68.0,809.246,0.003,0.006,109.912,direct,windows,Samsung,Mar,West North Central,Returning,0.0,0.0,True
00x7f2,2.0,28.667,0.0,0.0,12.0,224.167,0.0,0.023,44.735,direct,mac-ios,Google-Chrome,Mar,East South Central,Returning,0.0,0.0,True
00x813,0.0,0.0,0.0,0.0,32.0,827.646,0.0,0.001,54.676,direct,windows,Google-Chrome,Mar,West South Central,Returning,0.0,0.0,True
00x816,5.0,243.667,1.0,415.0,20.0,1267.233,0.0,0.01,91.98,search,android,Safari,Mar,East North Central,Returning,0.0,0.0,True
00x818,0.0,0.0,0.0,0.0,27.0,694.304,0.0,0.008,11.993,direct,android,Safari,Mar,New England,Returning,0.0,1.0,True
00x81b,0.0,0.0,1.0,56.0,17.0,1385.833,0.006,0.018,39.859,direct,windows,Google-Chrome,Mar,New England,Returning,0.0,0.0,True
00x81c,1.0,6.0,0.0,0.0,15.0,500.0,0.027,0.073,19.996,search,windows,Google-Chrome,Mar,East North Central,Returning,0.0,0.0,True
00x824,1.0,5.0,0.0,0.0,13.0,545.571,0.013,0.021,26.12,direct,windows,Google-Chrome,Mar,East North Central,Returning,0.0,1.0,True
00x826,1.0,78.0,0.0,0.0,21.0,555.894,0.0,0.002,24.75,direct,android,Safari,Mar,New England,New,0.0,0.0,True
00x82d,2.0,254.0,1.0,39.0,95.0,4990.96,0.004,0.015,5.638,referral,windows,Google-Chrome,May,New England,Returning,0.0,0.0,True
00x83c,0.0,0.0,0.0,0.0,12.0,896.5,0.008,0.025,14.69,referral,windows,Samsung,May,New England,Returning,0.6,0.0,True
00x83e,6.0,97.882,2.0,9.0,58.0,2293.599,0.008,0.034,6.748,referral,windows,Google-Chrome,May,West South Central,Returning,0.0,0.0,True
00x84a,3.0,27.0,0.0,0.0,21.0,898.0,0.015,0.042,10.947,search,windows,Google-Chrome,May,New England,Returning,0.6,0.0,True
00x853,0.0,0.0,0.0,0.0,23.0,1888.5,0.0,0.009,46.006,referral,windows,Google-Chrome,May,West North Central,New,0.0,1.0,True
00x869,2.0,129.0,0.0,0.0,31.0,866.7,0.012,0.034,18.111,search,mac-ios,Google-Chrome,May,East South Central,Returning,0.0,0.0,True
00x874,7.0,89.5,0.0,0.0,26.0,1163.333,0.0,0.009,26.983,referral,mac-ios,Google-Chrome,May,East North Central,New,0.0,0.0,True
00x87b,0.0,0.0,0.0,0.0,21.0,452.798,0.0,0.023,16.825,referral,android,Safari,May,New England,Returning,0.0,0.0,True
00x88c,5.0,724.5,0.0,0.0,23.0,867.333,0.0,0.001,59.988,direct,android,Safari,May,New England,Returning,0.0,0.0,True
00x8a5,9.0,329.298,1.0,75.0,32.0,1888.548,0.011,0.026,24.638,referral,android,Safari,May,Pacific,Returning,0.0,1.0,True
00x8a7,2.0,47.0,0.0,0.0,42.0,1528.382,0.0,0.005,17.697,referral,android,Safari,May,New England,New,1.0,1.0,True
00x8ab,6.0,89.0,3.0,12.0,75.0,5378.046,0.02,0.046,4.374,search,windows,Google-Chrome,May,Mountain,Returning,0.2,0.0,True
00x8c3,4.0,32.667,0.0,0.0,34.0,1378.967,0.008,0.017,18.47,referral,mac-ios,Google-Chrome,May,New England,Returning,0.0,1.0,True
00x8c7,10.0,295.694,0.0,0.0,29.0,785.474,0.0,0.001,34.992,referral,windows,Google-Chrome,May,South Atlantic,Returning,0.0,1.0,True
00x8cb,0.0,0.0,1.0,48.0,32.0,1808.333,0.05,0.075,12.484,search,mac-ios,Google-Chrome,May,Mountain,Returning,0.4,0.0,True
00x8d2,1.0,35.0,1.0,49.5,11.0,1464.0,0.0,0.021,32.946,referral,windows,Google-Chrome,May,West North Central,Returning,0.2,0.0,True
00x8d3,0.0,0.0,2.0,236.0,66.0,1483.55,0.0,0.006,143.212,search,windows,Firefox,May,East North Central,Returning,0.0,1.0,True
00x8db,1.0,25.0,0.0,0.0,35.0,1570.5,0.0,0.003,13.073,referral,windows,Google-Chrome,May,East South Central,Returning,0.0,1.0,True
00x8df,1.0,13.0,0.0,0.0,15.0,524.5,0.0,0.013,33.961,referral,mac-ios,Google-Chrome,May,New England,Returning,0.0,0.0,True
00x8e6,4.0,309.0,0.0,0.0,27.0,877.5,0.0,0.007,44.477,referral,android,Safari,May,New England,New,0.0,0.0,True
00x8e9,0.0,0.0,1.0,51.0,29.0,1225.5,0.0,0.01,25.903,referral,linux,Google-Chrome,May,New England,New,0.0,0.0,True
00x8f2,2.0,29.333,0.0,0.0,98.0,2680.829,0.009,0.014,16.049,direct,mac-ios,Google-Chrome,May,East North Central,Returning,0.0,0.0,True
00x8fd,3.0,44.0,4.0,1636.0,49.0,4945.083,0.009,0.029,6.165,referral,windows,Google-Chrome,May,Mid-Atlantic,Returning,0.8,0.0,True
00x900,0.0,0.0,0.0,0.0,20.0,528.0,0.0,0.008,31.19,referral,windows,Google-Chrome,May,New England,New,0.6,0.0,True
00x90f,8.0,119.0,0.0,0.0,31.0,1273.875,0.0,0.004,12.634,search,windows,Firefox,May,New England,New,0.0,0.0,True
00x91f,4.0,92.25,1.0,0.0,47.0,1506.221,0.0,0.026,8.012,direct,windows,Google-Chrome,May,New England,Returning,0.4,0.0,True
00x924,0.0,0.0,1.0,257.0,,1906.8,0.019,,22.63,referral,windows,Google-Chrome,,Mid-Atlantic,Returning,0.4,0.0,True
00x937,2.0,61.167,0.0,0.0,47.0,901.25,0.008,0.025,32.799,referral,windows,Firefox,May,East South Central,Returning,0.0,0.0,True
00x938,2.0,39.5,1.0,161.0,34.0,1406.21,0.011,0.021,23.605,referral,windows,Google-Chrome,May,Mountain,Returning,0.2,0.0,True
00x950,3.0,42.333,0.0,0.0,64.0,2471.392,0.006,0.021,6.221,referral,windows,Google-Chrome,May,Mid-Atlantic,Returning,0.6,0.0,True
00x958,0.0,0.0,0.0,0.0,3.0,127.0,0.0,0.067,65.988,referral,windows,Google-Chrome,May,New England,Returning,0.0,0.0,True
00x95b,3.0,65.167,2.0,16.0,23.0,599.333,0.008,0.017,5.494,referral,android,Other,May,Mid-Atlantic,Returning,0.0,1.0,True
00x96c,0.0,0.0,0.0,0.0,12.0,499.0,0.0,0.018,86.388,direct,windows,Google-Chrome,May,East South Central,New,0.0,1.0,True
00x973,4.0,69.0,1.0,0.0,19.0,580.5,0.011,0.049,22.329,search,windows,Google-Chrome,May,New England,Returning,0.0,1.0,True
00x9a9,14.0,662.536,2.0,58.0,41.0,854.286,0.019,0.021,10.172,referral,mac-ios,Google-Chrome,May,West North Central,Returning,0.0,1.0,True
00x9c1,1.0,337.0,1.0,39.0,16.0,630.5,0.0,0.006,28.794,referral,mac-ios,Google-Chrome,May,New England,Returning,0.0,1.0,True
00x9eb,8.0,121.667,2.0,62.0,30.0,1688.726,0.0,0.012,15.085,direct,windows,Google-Chrome,May,East North Central,Returning,0.0,0.0,True
00x9f9,4.0,70.833,1.0,30.0,27.0,1150.192,0.003,0.012,23.554,direct,windows,Google-Chrome,May,New England,Returning,0.0,0.0,True
00x9fd,10.0,252.5,2.0,506.0,14.0,289.667,0.0,0.021,29.774,direct,windows,Firefox,May,West North Central,Returning,0.0,0.0,True
00xa13,3.0,189.0,1.0,32.0,26.0,1517.9,0.0,0.007,34.349,search,windows,Google-Chrome,May,West South Central,New,0.0,0.0,True
00xa26,0.0,0.0,0.0,0.0,37.0,607.467,0.0,0.003,39.978,direct,android,Safari,May,New England,Returning,0.0,1.0,True
00xa2a,7.0,114.25,1.0,17.333,25.0,874.583,0.0,0.012,54.331,referral,windows,Samsung,May,Mid-Atlantic,Returning,0.0,1.0,True
00xa3f,4.0,248.667,3.0,382.333,30.0,1039.478,0.004,0.007,9.512,referral,mac-ios,Google-Chrome,May,Mid-Atlantic,Returning,0.0,0.0,True
00xa63,2.0,77.0,0.0,0.0,32.0,1223.417,0.0,0.011,215.009,direct,mac-ios,Google-Chrome,May,West North Central,Returning,0.0,0.0,True
